Model,matthews_corrcoef,accuracy,precision,recall,f1,avg_inference_time
Student,0.4894919726378361,0.7938638542665388,0.8138957816377171,0.9098474341192788,0.8592010478061559,0.004659844167304762
Teacher,0.5727969336224868,0.8264621284755513,0.8292682926829268,0.9431345353675451,0.8825438027255029,0.009194659464287035
